# vendor name, device_name, burst length (value:probability/value:probability/...), mac_policy, VHT capabilities, extended capabilities, HT capabilities, supported_rates (Mbps), ext_supported_rates (Mbps)
Lenovo,think pad p53,1:0.47,0,6039513f9a796e12,4c4b6b613112,5c6941f962fef686,6:0.28/9:0.19/12:0.26/18:0.28,24:0.61/36:0.39
Samsung,galaxys21,1:0.8/2:0.67/3:0.19,0,?,14ce5dce9904,2eb7d2e5ea2c1076,6:0.1/9:0.33/12:0.31/18:0.26,24:0.23/36:0.77
Realme,gt neo2,1:0.62,1,5a0258495845b566,4ff1a840e378,9c521d22863a7865,6:0.2/9:0.12/12:0.3/18:0.38,24:0.52/36:0.48
Huawei,p40lite,1:0.75,1,?,557b5fb6c7a0,1cdaa6fe79cbcad1,6:0.45/9:0.14/12:0.25/18:0.16,24:0.71/36:0.29
Lenovo,think pad p53,1:0.14/2:0.84/3:0.62,0,?,3ecb37318bd0,a0c340aae850501f,6:0.23/9:0.07/12:0.4/18:0.3,24:0.65/36:0.35
Lenovo,think pad t14sgen1,1:0.64/2:0.88/3:0.16,1,?,30f01251ba31,39cf8dcccb3eb15f,6:0.3/9:0.31/12:0.26/18:0.13,24:0.42/36:0.58
MeiZu,18,1:0.31/2:0.22,1,?,8eec8950976f,700caf312f207127,6:0.28/9:0.32/12:0.11/18:0.29,24:0.38/36:0.62
Lenovo,think pad t14sgen1,1:0.65/2:0.72/3:0.18,1,6bb7459d4982fc41,c3ca44188f20,4b68afa02adb95fc,6:0.24/9:0.05/12:0.38/18:0.34,24:0.84/36:0.16
Huawei,mate30pro,1:0.8,3,?,8426bca2973e,a93b99ef3cd2a357,6:0.27/9:0.31/12:0.24/18:0.18,24:0.85/36:0.15
iQOO,iQOO Neo5,1:0.13/2:0.6,1,?,b5675abbcb52,53da477cfb218465,6:0.34/9:0.21/12:0.12/18:0.33,24:0.71/36:0.29
OnePlus,one plus9rt,1:0.35/2:0.32,1,da635642ae916e30,ed1e48c43330,5deb7e16ce82b2a6,6:0.23/9:0.18/12:0.41/18:0.17,24:0.14/36:0.86
iQOO,iQOO 7,1:0.15/2:0.36/3:0.24,0,?,8995e0c007b8,a16aa3cc85277ba6,6:0.18/9:0.05/12:0.36/18:0.41,24:0.17/36:0.83
honor,honor93,1:0.33,1,?,047bae8f4a74,fb10fbc4504ce58e,6:0.51/9:0.24/12:0.1/18:0.16,24:0.25/36:0.75
MeiZu,18plus,1:0.43,0,?,472bb7d2aa90,9c21bd04e40f3335,6:0.11/9:0.27/12:0.26/18:0.36,24:0.15/36:0.85
honor,honor98,1:0.76/2:0.8,0,?,54ba3a2637b9,4b956f5174c3b345,6:0.24/9:0.26/12:0.28/18:0.23,24:0.43/36:0.57
Samsung,galaxys9,1:0.49/2:0.12,2,?,ef3fdd2c3d1c,38713f005e22da38,6:0.11/9:0.31/12:0.34/18:0.25,24:0.56/36:0.44
honor,honor95,1:0.17/2:0.55,2,?,a98795cda8dd,aea755a0c0e6b78f,6:0.26/9:0.3/12:0.16/18:0.28,24:0.57/36:0.43
MeiZu,18v,1:0.37/2:0.13,2,?,720f5cfdc301,1c0ceab4536f5668,6:0.41/9:0.13/12:0.22/18:0.25,24:0.52/36:0.48
Realme,gt neo2t,1:0.65/2:0.2,2,f1509b39cfd653db,880c81c17a26,525eae96113a1ab7,6:0.08/9:0.11/12:0.51/18:0.3,24:0.65/36:0.35
Xiaomi,redmi note10pro,1:0.25,3,?,8b36df62af08,03cff35e9ea2fffa,6:0.22/9:0.4/12:0.29/18:0.1,24:0.63/36:0.37
Huawei,mate20x,1:0.88/2:0.48,2,dfdb825712c6c956,2cd1d637238b,cc686f6b28c57f4c,6:0.43/9:0.26/12:0.24/18:0.07,24:0.82/36:0.18
Huawei,p40lite,1:0.85,2,2eca5dab340c1790,89b847d40f0a,81bce0978198eac3,6:0.23/9:0.46/12:0.09/18:0.22,24:0.71/36:0.29
iQOO,iQOO U5,1:0.67,0,?,496f8169cf70,e312ef74dead08b8,6:0.31/9:0.28/12:0.3/18:0.1,24:0.64/36:0.36
vivo,x70pro+,1:0.38/2:0.75,2,?,5698f04e8271,9853d9443e5baabe,6:0.25/9:0.21/12:0.16/18:0.38,24:0.72/36:0.28
honor,honor95,1:0.9,2,?,913c81c472aa,494581ebad31bee7,6:0.36/9:0.18/12:0.36/18:0.1,24:0.67/36:0.33
vivo,x80,1:0.33,3,b3a5ebd5d0e9b62b,735aa08e9fd9,b82276f28dcdd56d,6:0.33/9:0.19/12:0.18/18:0.3,24:0.32/36:0.68
Xiaomi,mi8lite,1:0.15,0,9b38dc9a4e21f59a,2c02945d3f3a,b84c5e31f5573b27,6:0.25/9:0.22/12:0.22/18:0.32,24:0.38/36:0.62
Realme,Realme q3i,1:0.29/2:0.66/3:0.42,0,2dea42eb8a7ca9d7,6643e880efc9,daa1f03b61c4e60a,6:0.3/9:0.28/12:0.18/18:0.23,24:0.74/36:0.26
MeiZu,18plus,1:0.24,1,?,743d045ca477,0cba85ab2808f15d,6:0.33/9:0.35/12:0.25/18:0.07,24:0.39/36:0.61
OPPO,oppo a1pro,1:0.13,3,?,32ed826ef5a3,77f137c75696a441,6:0.14/9:0.39/12:0.12/18:0.36,24:0.73/36:0.27
Nubia,red magic7mini,1:0.56,0,176beb4dcf026b3d,2931f09ef080,c29d44a062e5e212,6:0.17/9:0.35/12:0.07/18:0.4,24:0.56/36:0.44
Xiaomi,mi10lite,1:0.36,2,?,fc7049b7cfe9,0b169eb874702722,6:0.2/9:0.32/12:0.29/18:0.2,24:0.56/36:0.44
Samsung,galaxys9,1:0.71/2:0.69/3:0.6,0,?,85f278a4bc6f,fd420135949344d4,6:0.37/9:0.16/12:0.27/18:0.2,24:0.59/36:0.41
Realme,gt neo2t,1:0.29/2:0.86/3:0.33,1,01e1a7c833fec86c,16a8b3bd88e7,f3115667e6bc0baa,6:0.21/9:0.29/12:0.24/18:0.26,24:0.58/36:0.42
iQOO,iQOO Neo6,1:0.61/2:0.73/3:0.19,1,?,f641bd4f0862,675a917df8ff16af,6:0.49/9:0.09/12:0.11/18:0.31,24:0.18/36:0.82
Samsung,galaxys21,1:0.28/2:0.48,2,?,ff95edc573bb,6cae3260327b00d0,6:0.25/9:0.16/12:0.42/18:0.18,24:0.72/36:0.28
Lenovo,think pad x1yoga,1:0.62/2:0.13/3:0.72,0,6d09220e306afa3b,ae0b5797b907,91543be1e71c9c40,6:0.25/9:0.34/12:0.18/18:0.23,24:0.22/36:0.78
Realme,gt neo3,1:0.58/2:0.87/3:0.23,3,6519158b64c93ab9,34f1aaa334ed,7a1e24a118d72023,6:0.33/9:0.33/12:0.16/18:0.17,24:0.67/36:0.33
MeiZu,18,1:0.37,0,40b3f2502166dc97,2e0d7478435d,811fe43670143131,6:0.1/9:0.12/12:0.37/18:0.42,24:0.54/36:0.46
Lenovo,think pad x1carbon,1:0.47/2:0.48,2,a1828abd85cc1768,d0b031664ee5,0c2c39a35cbd4a00,6:0.27/9:0.1/12:0.48/18:0.15,24:0.65/36:0.35
Xiaomi,mi9lite,1:0.84/2:0.63,3,2954f98379df6fb7,53b1f8c59c19,fc496aec7c73e1fe,6:0.1/9:0.57/12:0.25/18:0.07,24:0.7/36:0.3
Samsung,galaxys6edge,1:0.62/2:0.3,1,91fc6647f40741f2,0d85e109b48c,afb68460c86fd4ca,6:0.28/9:0.34/12:0.29/18:0.08,24:0.52/36:0.48
honor,honor95,1:0.84/2:0.79,3,?,c665e1b7f686,eaf7e72c9c4050da,6:0.26/9:0.32/12:0.11/18:0.32,24:0.53/36:0.47
honor,honor90,1:0.29,1,?,2a0394afdcec,5384a36fec6d126e,6:0.24/9:0.42/12:0.06/18:0.27,24:0.52/36:0.48
vivo,x60pro+,1:0.51/2:0.82/3:0.59,2,23de4e25b0da9593,007a2651e029,f475ee92e84b39ec,6:0.36/9:0.31/12:0.07/18:0.25,24:0.52/36:0.48
Xiaomi,mi10lite,1:0.75/2:0.31/3:0.7,3,0050a35f7f6855d6,abc2f1c7c970,3e4779b8f60d67c7,6:0.38/9:0.38/12:0.15/18:0.09,24:0.21/36:0.79
Samsung,galaxys10,1:0.36/2:0.31/3:0.67,2,?,a0bd8522330b,c21b3427b09f9d3b,6:0.14/9:0.41/12:0.12/18:0.33,24:0.6/36:0.4
OnePlus,one plus8pro,1:0.38,1,?,5e93df556346,9fabbdba7a69f9f3,6:0.43/9:0.26/12:0.07/18:0.24,24:0.2/36:0.8
Nubia,red magic7s,1:0.62,3,78d1babc1d4dd601,f5e945d2b20a,9ccad5952cd49f83,6:0.19/9:0.21/12:0.32/18:0.28,24:0.3/36:0.7
Nubia,red magic7pro,1:0.35/2:0.42/3:0.25,3,?,4c4755e564d8,cc58a9a3cff1908d,6:0.19/9:0.33/12:0.13/18:0.36,24:0.65/36:0.35
Xiaomi,note8t,1:0.87,2,?,efabb092ae06,d191eec81260ffb7,6:0.6/9:0.13/12:0.21/18:0.06,24:0.48/36:0.52
Realme,Realme q3i,1:0.73/2:0.29,3,353f3a25b4a29dc2,a85e506a7989,71f4008c06229e3c,6:0.11/9:0.28/12:0.27/18:0.34,24:0.65/36:0.35
Huawei,p40lite,1:0.6/2:0.88,0,b392232fd30a4cba,6620fc49cd77,a2e812ab8bbb07c8,6:0.22/9:0.14/12:0.32/18:0.33,24:0.54/36:0.46
