# device_name, Phase (0 Locked 1 Awake 2 Active), intra-burst interval (value:probability/value:probability/... ), inter-burst interval (value:probability/value:probability/... ), state dwell time (value:probability/... ), jitter (value:probability/... )
redmi note9pro,0,0.1:0.45/0.05:0.74,2.7:0.55,5:0.14/10:0.04/20:0.24/30:0.21/45:0.08/60:0.29,0.01:0.18/0.05:0.48/0.1:0.28/0.2:0.06
redmi note9pro,1,0.09:0.22/0.02:0.23,2.25:0.85/4.52:0.71,5:0.1/10:0.21/20:0.23/30:0.07/45:0.19/60:0.2,0.01:0.22/0.05:0.34/0.1:0.24/0.2:0.19
redmi note9pro,2,0.08:0.13/0.02:0.7,3.15:0.54/3.64:0.33,5:0.11/10:0.1/20:0.11/30:0.12/45:0.24/60:0.32,0.01:0.26/0.05:0.13/0.1:0.3/0.2:0.31
oppo ace2,0,0.03:0.46/0.07:0.33/0.08:0.5,4.44:0.76/2.04:0.81,5:0.28/10:0.31/20:0.07/30:0.05/45:0.18/60:0.11,0.01:0.15/0.05:0.3/0.1:0.3/0.2:0.25
oppo ace2,1,0.05:0.44/0.02:0.19,4.83:0.66/3.86:0.77,5:0.07/10:0.09/20:0.08/30:0.33/45:0.29/60:0.14,0.01:0.32/0.05:0.06/0.1:0.32/0.2:0.29
oppo ace2,2,0.08:0.69,3.75:0.13/3.55:0.17/2.18:0.31,5:0.16/10:0.28/20:0.04/30:0.05/45:0.18/60:0.28,0.01:0.15/0.05:0.35/0.1:0.37/0.2:0.12
18,0,0.04:0.51/0.05:0.2,2.25:0.82,5:0.25/10:0.14/20:0.21/30:0.12/45:0.11/60:0.17,0.01:0.28/0.05:0.18/0.1:0.15/0.2:0.39
18,1,0.08:0.34/0.05:0.65,4.54:0.81,5:0.15/10:0.24/20:0.11/30:0.14/45:0.2/60:0.16,0.01:0.3/0.05:0.27/0.1:0.16/0.2:0.28
18,2,0.03:0.92,2.87:0.61/3.33:0.24/3.14:0.91,5:0.24/10:0.19/20:0.17/30:0.23/45:0.03/60:0.14,0.01:0.07/0.05:0.46/0.1:0.25/0.2:0.23
one plus9pro,0,0.03:0.47/0.04:0.61,2.27:0.69/4.87:0.67,5:0.26/10:0.16/20:0.1/30:0.22/45:0.05/60:0.22,0.01:0.12/0.05:0.1/0.1:0.36/0.2:0.41
one plus9pro,1,0.1:0.79/0.05:0.84,4.53:0.24,5:0.14/10:0.05/20:0.4/30:0.21/45:0.15/60:0.06,0.01:0.28/0.05:0.37/0.1:0.14/0.2:0.22
one plus9pro,2,0.07:0.52,2.32:0.87,5:0.21/10:0.16/20:0.06/30:0.27/45:0.2/60:0.1,0.01:0.38/0.05:0.39/0.1:0.08/0.2:0.15
galaxys20fe,0,0.05:0.27,2.49:0.58,5:0.23/10:0.21/20:0.22/30:0.14/45:0.04/60:0.16,0.01:0.06/0.05:0.5/0.1:0.13/0.2:0.31
galaxys20fe,1,0.02:0.29/0.06:0.8/0.08:0.9,2.76:0.11/3.43:0.46/2.88:0.85,5:0.22/10:0.08/20:0.17/30:0.09/45:0.37/60:0.07,0.01:0.25/0.05:0.14/0.1:0.16/0.2:0.45
galaxys20fe,2,0.08:0.47,4.55:0.64/3.06:0.16/4.68:0.26,5:0.29/10:0.18/20:0.06/30:0.09/45:0.14/60:0.25,0.01:0.3/0.05:0.26/0.1:0.26/0.2:0.18
note8t,0,0.09:0.59/0.07:0.82/0.02:0.94,4.73:0.57/4.47:0.46,5:0.29/10:0.12/20:0.04/30:0.05/45:0.26/60:0.24,0.01:0.12/0.05:0.36/0.1:0.07/0.2:0.45
note8t,1,0.05:0.17/0.06:0.2/0.02:0.82,2.21:0.9/4.75:0.46/2.15:0.79,5:0.19/10:0.32/20:0.16/30:0.03/45:0.11/60:0.19,0.01:0.21/0.05:0.13/0.1:0.28/0.2:0.38
note8t,2,0.05:0.69/0.09:0.75,3.05:0.28/4.28:0.9,5:0.07/10:0.1/20:0.23/30:0.41/45:0.13/60:0.06,0.01:0.12/0.05:0.21/0.1:0.13/0.2:0.54
mi10lite,0,0.04:0.94/0.08:0.75,4.84:0.18,5:0.14/10:0.26/20:0.05/30:0.08/45:0.23/60:0.24,0.01:0.18/0.05:0.17/0.1:0.33/0.2:0.31
mi10lite,1,0.06:0.62,3.29:0.56/4.6:0.25/4.92:0.58,5:0.15/10:0.18/20:0.27/30:0.1/45:0.19/60:0.11,0.01:0.2/0.05:0.18/0.1:0.35/0.2:0.27
mi10lite,2,0.05:0.57,2.75:0.36/3.27:0.15,5:0.08/10:0.13/20:0.27/30:0.27/45:0.07/60:0.18,0.01:0.28/0.05:0.33/0.1:0.17/0.2:0.21
oppo ace2,0,0.02:0.15/0.08:0.94,3.53:0.6,5:0.17/10:0.17/20:0.06/30:0.12/45:0.36/60:0.12,0.01:0.07/0.05:0.42/0.1:0.41/0.2:0.1
oppo ace2,1,0.07:0.44/0.05:0.73/0.06:0.27,4.99:0.43/3.33:0.73,5:0.12/10:0.21/20:0.14/30:0.12/45:0.28/60:0.13,0.01:0.11/0.05:0.49/0.1:0.18/0.2:0.22
oppo ace2,2,0.09:0.2/0.1:0.74/0.09:0.5,3.58:0.95,5:0.41/10:0.06/20:0.1/30:0.15/45:0.21/60:0.08,0.01:0.18/0.05:0.18/0.1:0.44/0.2:0.2
think pad x1yoga,0,0.03:0.77/0.08:0.57,2.44:0.97,5:0.12/10:0.05/20:0.18/30:0.24/45:0.12/60:0.29,0.01:0.37/0.05:0.2/0.1:0.29/0.2:0.14
think pad x1yoga,1,0.04:0.84/0.09:0.73/0.09:0.32,2.41:0.22/4.13:0.73,5:0.09/10:0.25/20:0.09/30:0.13/45:0.22/60:0.22,0.01:0.42/0.05:0.38/0.1:0.07/0.2:0.13
think pad x1yoga,2,0.09:0.8/0.08:0.3,3.63:0.62/3.59:0.52/3.6:0.77,5:0.08/10:0.12/20:0.07/30:0.22/45:0.24/60:0.27,0.01:0.07/0.05:0.13/0.1:0.36/0.2:0.44
honor90,0,0.03:0.27,2.78:0.81,5:0.23/10:0.24/20:0.03/30:0.24/45:0.12/60:0.13,0.01:0.17/0.05:0.08/0.1:0.48/0.2:0.27
honor90,1,0.07:0.27/0.06:0.15,4.05:0.53,5:0.25/10:0.15/20:0.14/30:0.12/45:0.19/60:0.16,0.01:0.31/0.05:0.38/0.1:0.13/0.2:0.18
honor90,2,0.09:0.46,4.89:0.45/3.48:0.14/4.36:0.2,5:0.26/10:0.15/20:0.21/30:0.11/45:0.09/60:0.19,0.01:0.34/0.05:0.17/0.1:0.29/0.2:0.2
oppo a93,0,0.04:0.43/0.03:0.14/0.05:0.59,3.82:0.68/3.97:0.18,5:0.23/10:0.11/20:0.1/30:0.27/45:0.16/60:0.13,0.01:0.22/0.05:0.13/0.1:0.39/0.2:0.26
oppo a93,1,0.05:0.22,4.58:0.59/2.18:0.5/2.17:0.7,5:0.38/10:0.09/20:0.07/30:0.08/45:0.31/60:0.07,0.01:0.21/0.05:0.38/0.1:0.25/0.2:0.16
oppo a93,2,0.08:0.58/0.03:0.96/0.07:0.86,4.18:0.39,5:0.19/10:0.24/20:0.16/30:0.03/45:0.19/60:0.19,0.01:0.26/0.05:0.19/0.1:0.16/0.2:0.38
one plus Nord,0,0.06:0.3/0.08:0.51,2.42:0.69/4.48:0.69/3.3:0.44,5:0.1/10:0.22/20:0.19/30:0.18/45:0.14/60:0.17,0.01:0.31/0.05:0.24/0.1:0.3/0.2:0.15
one plus Nord,1,0.03:0.75/0.08:0.89,2.22:0.13,5:0.14/10:0.1/20:0.25/30:0.25/45:0.13/60:0.14,0.01:0.32/0.05:0.32/0.1:0.14/0.2:0.22
one plus Nord,2,0.07:0.34/0.05:0.11/0.03:0.63,3.48:0.84/2.32:0.7,5:0.11/10:0.26/20:0.19/30:0.21/45:0.04/60:0.18,0.01:0.32/0.05:0.35/0.1:0.23/0.2:0.1
red magic7,0,0.05:0.55/0.04:1.0,3.1:0.9/4.87:0.92,5:0.13/10:0.15/20:0.26/30:0.34/45:0.05/60:0.07,0.01:0.24/0.05:0.46/0.1:0.13/0.2:0.17
red magic7,1,0.03:0.69,4.1:0.27/4.23:0.83/2.16:0.18,5:0.27/10:0.27/20:0.03/30:0.27/45:0.03/60:0.13,0.01:0.28/0.05:0.17/0.1:0.33/0.2:0.22
red magic7,2,0.02:0.54/0.06:0.48,4.13:0.84/4.69:0.12/4.53:0.24,5:0.23/10:0.16/20:0.14/30:0.23/45:0.16/60:0.08,0.01:0.1/0.05:0.17/0.1:0.39/0.2:0.33
x60pro,0,0.02:0.16/0.06:0.94/0.03:0.13,3.12:0.63/2.17:0.91,5:0.13/10:0.22/20:0.12/30:0.24/45:0.13/60:0.17,0.01:0.4/0.05:0.26/0.1:0.09/0.2:0.26
x60pro,1,0.09:0.27/0.05:0.2/0.09:0.93,4.9:0.73/2.67:0.79/2.15:0.73,5:0.06/10:0.13/20:0.29/30:0.23/45:0.23/60:0.06,0.01:0.29/0.05:0.19/0.1:0.36/0.2:0.17
x60pro,2,0.08:0.42/0.06:0.62/0.09:0.88,3.55:0.27/3.68:0.86,5:0.11/10:0.2/20:0.1/30:0.29/45:0.13/60:0.18,0.01:0.13/0.05:0.28/0.1:0.31/0.2:0.27
18plus,0,0.1:0.33/0.07:0.79,4.96:0.79/4.57:0.19/3.82:0.28,5:0.09/10:0.15/20:0.19/30:0.19/45:0.12/60:0.26,0.01:0.08/0.05:0.49/0.1:0.13/0.2:0.31
18plus,1,0.06:0.79,4.8:0.4/3.33:0.54,5:0.04/10:0.25/20:0.28/30:0.22/45:0.16/60:0.06,0.01:0.37/0.05:0.28/0.1:0.05/0.2:0.3
18plus,2,0.1:0.27/0.07:0.77,3.03:0.7/4.1:0.42,5:0.26/10:0.21/20:0.16/30:0.19/45:0.15/60:0.03,0.01:0.2/0.05:0.33/0.1:0.35/0.2:0.12
lenovo think book 14p,0,0.08:0.51,4.2:0.29/2.15:0.92/2.5:0.36,5:0.08/10:0.1/20:0.23/30:0.09/45:0.27/60:0.23,0.01:0.26/0.05:0.38/0.1:0.22/0.2:0.13
lenovo think book 14p,1,0.07:0.27/0.09:0.95/0.08:0.72,4.58:0.18/2.83:0.67,5:0.21/10:0.13/20:0.21/30:0.08/45:0.22/60:0.15,0.01:0.15/0.05:0.24/0.1:0.3/0.2:0.31
lenovo think book 14p,2,0.07:0.38/0.05:0.55,4.89:0.24,5:0.15/10:0.14/20:0.06/30:0.19/45:0.24/60:0.23,0.01:0.07/0.05:0.33/0.1:0.29/0.2:0.3
iQOO Neo6,0,0.09:0.92,4.8:0.56,5:0.18/10:0.24/20:0.05/30:0.27/45:0.16/60:0.11,0.01:0.17/0.05:0.3/0.1:0.27/0.2:0.26
iQOO Neo6,1,0.06:0.16,2.07:0.3,5:0.04/10:0.21/20:0.17/30:0.27/45:0.17/60:0.14,0.01:0.33/0.05:0.41/0.1:0.11/0.2:0.15
iQOO Neo6,2,0.08:0.92/0.04:0.85/0.05:0.26,4.56:0.52,5:0.08/10:0.21/20:0.17/30:0.11/45:0.14/60:0.29,0.01:0.28/0.05:0.19/0.1:0.45/0.2:0.09
oppo a1pro,0,0.03:0.29/0.06:0.83,3.5:0.97/4.2:0.28,5:0.16/10:0.18/20:0.14/30:0.17/45:0.15/60:0.19,0.01:0.18/0.05:0.39/0.1:0.17/0.2:0.25
oppo a1pro,1,0.09:0.7/0.05:0.57,3.25:0.57,5:0.21/10:0.19/20:0.11/30:0.19/45:0.13/60:0.17,0.01:0.19/0.05:0.21/0.1:0.43/0.2:0.17
oppo a1pro,2,0.04:0.27/0.07:0.37,4.89:0.38,5:0.16/10:0.24/20:0.23/30:0.17/45:0.08/60:0.11,0.01:0.6/0.05:0.13/0.1:0.11/0.2:0.16
think pad x28 gen1,0,0.09:0.48,4.32:0.28,5:0.15/10:0.21/20:0.08/30:0.15/45:0.2/60:0.22,0.01:0.43/0.05:0.13/0.1:0.19/0.2:0.26
think pad x28 gen1,1,0.1:0.78/0.06:0.33/0.04:0.23,2.53:0.73/4.76:0.34/2.61:0.36,5:0.29/10:0.2/20:0.12/30:0.09/45:0.17/60:0.12,0.01:0.21/0.05:0.35/0.1:0.31/0.2:0.14
think pad x28 gen1,2,0.09:0.43/0.05:0.75,2.47:0.38/4.58:0.47/2.23:0.92,5:0.07/10:0.13/20:0.28/30:0.27/45:0.09/60:0.16,0.01:0.32/0.05:0.15/0.1:0.36/0.2:0.18
18lite,0,0.09:0.65/0.06:0.65,4.33:0.93,5:0.19/10:0.19/20:0.04/30:0.16/45:0.13/60:0.29,0.01:0.11/0.05:0.34/0.1:0.27/0.2:0.28
18lite,1,0.03:0.71/0.03:0.46,3.66:0.36/4.57:0.34/3.88:0.24,5:0.16/10:0.15/20:0.22/30:0.1/45:0.16/60:0.19,0.01:0.41/0.05:0.31/0.1:0.08/0.2:0.21
18lite,2,0.03:0.11,4.1:0.28,5:0.17/10:0.1/20:0.22/30:0.06/45:0.22/60:0.23,0.01:0.33/0.05:0.3/0.1:0.12/0.2:0.24
x60pro+,0,0.05:0.67/0.02:0.23/0.07:0.65,4.15:0.54,5:0.32/10:0.08/20:0.28/30:0.11/45:0.12/60:0.1,0.01:0.1/0.05:0.37/0.1:0.14/0.2:0.39
x60pro+,1,0.06:0.16/0.08:0.22/0.05:0.9,4.37:0.78/2.79:0.57,5:0.12/10:0.3/20:0.19/30:0.09/45:0.16/60:0.14,0.01:0.38/0.05:0.21/0.1:0.09/0.2:0.32
x60pro+,2,0.07:0.3/0.09:0.53/0.02:0.33,4.61:0.59/2.91:0.65,5:0.13/10:0.26/20:0.08/30:0.08/45:0.21/60:0.23,0.01:0.29/0.05:0.4/0.1:0.06/0.2:0.24
galaxys21,0,0.03:0.13/0.1:0.18,4.05:0.3/4.29:0.46/4.28:0.95,5:0.2/10:0.18/20:0.17/30:0.18/45:0.2/60:0.08,0.01:0.18/0.05:0.07/0.1:0.16/0.2:0.58
galaxys21,1,0.05:0.98/0.07:0.17/0.08:0.97,3.97:0.67/2.72:0.16,5:0.05/10:0.06/20:0.28/30:0.27/45:0.11/60:0.24,0.01:0.41/0.05:0.43/0.1:0.1/0.2:0.07
galaxys21,2,0.03:0.39/0.09:0.14,4.39:0.49/4.69:0.18,5:0.23/10:0.09/20:0.12/30:0.2/45:0.12/60:0.24,0.01:0.12/0.05:0.48/0.1:0.2/0.2:0.21
mi9pro,0,0.06:0.62,4.52:0.45,5:0.14/10:0.24/20:0.09/30:0.22/45:0.05/60:0.26,0.01:0.2/0.05:0.31/0.1:0.21/0.2:0.28
mi9pro,1,0.07:0.2/0.09:0.18/0.05:0.67,4.86:0.89,5:0.13/10:0.16/20:0.07/30:0.06/45:0.28/60:0.29,0.01:0.44/0.05:0.06/0.1:0.39/0.2:0.11
mi9pro,2,0.09:0.82,2.45:0.71,5:0.15/10:0.2/20:0.25/30:0.07/45:0.09/60:0.23,0.01:0.18/0.05:0.36/0.1:0.05/0.2:0.42
red magic7,0,0.08:0.33/0.09:0.45/0.06:0.57,2.71:0.14,5:0.16/10:0.12/20:0.24/30:0.11/45:0.28/60:0.09,0.01:0.21/0.05:0.21/0.1:0.24/0.2:0.34
red magic7,1,0.04:0.13/0.03:0.95/0.02:0.83,3.3:0.93,5:0.16/10:0.28/20:0.2/30:0.19/45:0.1/60:0.07,0.01:0.47/0.05:0.3/0.1:0.11/0.2:0.12
red magic7,2,0.03:0.47/0.06:0.92,2.36:0.38,5:0.12/10:0.31/20:0.08/30:0.07/45:0.23/60:0.18,0.01:0.17/0.05:0.24/0.1:0.34/0.2:0.24
iQOO 10,0,0.02:0.97/0.07:0.15/0.04:0.23,2.1:0.28/4.44:0.5,5:0.04/10:0.23/20:0.27/30:0.17/45:0.25/60:0.04,0.01:0.21/0.05:0.25/0.1:0.3/0.2:0.24
iQOO 10,1,0.07:0.65/0.02:0.64,2.63:0.6,5:0.16/10:0.08/20:0.11/30:0.33/45:0.06/60:0.25,0.01:0.24/0.05:0.26/0.1:0.34/0.2:0.17
iQOO 10,2,0.07:0.32/0.05:0.85,3.39:0.23/4.39:0.29/2.47:0.32,5:0.17/10:0.26/20:0.18/30:0.1/45:0.24/60:0.05,0.01:0.24/0.05:0.13/0.1:0.2/0.2:0.43
lenovo think book 13s,0,0.07:0.4/0.09:0.69/0.1:0.36,4.84:0.87/4.87:0.93/4.64:0.19,5:0.08/10:0.28/20:0.21/30:0.29/45:0.04/60:0.1,0.01:0.32/0.05:0.34/0.1:0.13/0.2:0.21
lenovo think book 13s,1,0.03:0.92,2.43:0.25/3.42:0.59,5:0.15/10:0.11/20:0.18/30:0.16/45:0.33/60:0.08,0.01:0.11/0.05:0.29/0.1:0.24/0.2:0.35
lenovo think book 13s,2,0.07:0.89,3.28:0.46/3.52:0.41/2.14:0.2,5:0.22/10:0.09/20:0.15/30:0.1/45:0.24/60:0.2,0.01:0.2/0.05:0.3/0.1:0.16/0.2:0.34
find x3pro,0,0.07:0.15/0.04:0.48/0.05:0.22,2.68:0.99,5:0.11/10:0.24/20:0.19/30:0.18/45:0.13/60:0.16,0.01:0.4/0.05:0.25/0.1:0.22/0.2:0.14
find x3pro,1,0.07:0.84/0.09:0.13,3.97:0.88/4.74:0.76,5:0.06/10:0.18/20:0.05/30:0.2/45:0.28/60:0.23,0.01:0.24/0.05:0.28/0.1:0.32/0.2:0.16
find x3pro,2,0.08:0.2,4.18:0.76,5:0.07/10:0.27/20:0.14/30:0.12/45:0.17/60:0.23,0.01:0.16/0.05:0.25/0.1:0.47/0.2:0.12
galaxys20,0,0.06:0.15,4.4:0.33/4.13:0.58/4.38:0.63,5:0.22/10:0.11/20:0.22/30:0.12/45:0.14/60:0.2,0.01:0.14/0.05:0.46/0.1:0.26/0.2:0.14
galaxys20,1,0.1:0.77/0.08:0.69,2.45:0.58/4.87:0.32,5:0.19/10:0.25/20:0.18/30:0.05/45:0.28/60:0.04,0.01:0.36/0.05:0.16/0.1:0.27/0.2:0.2
galaxys20,2,0.07:0.42/0.03:0.59/0.08:0.81,4.35:0.4,5:0.15/10:0.23/20:0.18/30:0.16/45:0.23/60:0.05,0.01:0.2/0.05:0.26/0.1:0.31/0.2:0.22
one plus9pro,0,0.04:0.13/0.06:0.26,2.08:0.64/3.82:0.59,5:0.07/10:0.24/20:0.26/30:0.13/45:0.1/60:0.21,0.01:0.3/0.05:0.22/0.1:0.34/0.2:0.14
one plus9pro,1,0.02:0.65,2.33:0.79,5:0.24/10:0.11/20:0.1/30:0.15/45:0.13/60:0.26,0.01:0.25/0.05:0.26/0.1:0.33/0.2:0.15
one plus9pro,2,0.1:0.2/0.06:0.52,2.03:0.49/4.33:0.19/2.91:0.94,5:0.2/10:0.26/20:0.09/30:0.08/45:0.23/60:0.14,0.01:0.32/0.05:0.14/0.1:0.16/0.2:0.37
find x5pro,0,0.08:0.79,3.33:0.12,5:0.19/10:0.24/20:0.21/30:0.09/45:0.17/60:0.09,0.01:0.11/0.05:0.3/0.1:0.27/0.2:0.33
find x5pro,1,0.04:0.25,2.47:0.2/3.31:0.54,5:0.27/10:0.16/20:0.09/30:0.08/45:0.15/60:0.25,0.01:0.28/0.05:0.18/0.1:0.12/0.2:0.43
find x5pro,2,0.04:0.14/0.08:0.28/0.04:0.18,3.41:0.41/4.88:0.39/3.13:0.84,5:0.25/10:0.07/20:0.23/30:0.09/45:0.22/60:0.14,0.01:0.24/0.05:0.23/0.1:0.35/0.2:0.18
18,0,0.09:0.66/0.1:0.33,2.93:0.66/3.73:0.87,5:0.29/10:0.05/20:0.13/30:0.28/45:0.19/60:0.06,0.01:0.12/0.05:0.39/0.1:0.07/0.2:0.43
18,1,0.02:0.92/0.04:0.16,2.76:0.64/3.72:0.41,5:0.26/10:0.05/20:0.12/30:0.21/45:0.28/60:0.08,0.01:0.25/0.05:0.31/0.1:0.17/0.2:0.27
18,2,0.1:0.44,4.09:0.96,5:0.12/10:0.26/20:0.09/30:0.26/45:0.09/60:0.18,0.01:0.42/0.05:0.34/0.1:0.08/0.2:0.16
x80,0,0.07:0.81/0.06:0.93/0.05:0.49,3.9:0.18/4.19:0.55,5:0.23/10:0.14/20:0.07/30:0.11/45:0.14/60:0.32,0.01:0.31/0.05:0.05/0.1:0.37/0.2:0.27
x80,1,0.02:0.65/0.04:0.39/0.09:0.42,2.41:0.46,5:0.14/10:0.13/20:0.2/30:0.2/45:0.13/60:0.18,0.01:0.23/0.05:0.47/0.1:0.15/0.2:0.16
x80,2,0.03:0.19/0.07:0.81,4.04:0.96/4.31:0.79/4.6:0.19,5:0.15/10:0.11/20:0.19/30:0.28/45:0.24/60:0.03,0.01:0.39/0.05:0.12/0.1:0.23/0.2:0.27
iQOO Neo6,0,0.04:0.35/0.05:0.46,4.49:0.2/2.74:0.25,5:0.25/10:0.17/20:0.26/30:0.14/45:0.04/60:0.14,0.01:0.15/0.05:0.23/0.1:0.49/0.2:0.13
iQOO Neo6,1,0.03:0.8/0.06:0.34/0.06:0.6,4.09:0.96/3.94:0.58,5:0.07/10:0.22/20:0.04/30:0.23/45:0.29/60:0.15,0.01:0.42/0.05:0.08/0.1:0.21/0.2:0.29
iQOO Neo6,2,0.05:0.85/0.08:0.71,4.91:0.36/2.64:0.15/3.61:0.85,5:0.17/10:0.36/20:0.08/30:0.13/45:0.06/60:0.2,0.01:0.37/0.05:0.16/0.1:0.33/0.2:0.13
mi8ud,0,0.1:0.22/0.04:0.6,3.08:0.66/4.62:0.56,5:0.14/10:0.26/20:0.19/30:0.22/45:0.15/60:0.03,0.01:0.22/0.05:0.2/0.1:0.27/0.2:0.31
mi8ud,1,0.05:0.63,3.14:0.65/4.71:0.74/3.13:0.53,5:0.05/10:0.09/20:0.15/30:0.21/45:0.11/60:0.38,0.01:0.18/0.05:0.18/0.1:0.4/0.2:0.24
mi8ud,2,0.06:0.78/0.04:0.16,2.97:0.87/2.63:0.38/2.81:0.56,5:0.24/10:0.3/20:0.08/30:0.04/45:0.26/60:0.08,0.01:0.35/0.05:0.07/0.1:0.36/0.2:0.22
honor91,0,0.09:0.26/0.06:0.85/0.04:0.37,2.58:0.84/4.99:0.72/2.63:0.19,5:0.28/10:0.13/20:0.08/30:0.31/45:0.17/60:0.04,0.01:0.12/0.05:0.28/0.1:0.28/0.2:0.33
honor91,1,0.1:0.87,4.33:0.25/4.34:0.79/4.33:0.74,5:0.12/10:0.05/20:0.3/30:0.23/45:0.12/60:0.18,0.01:0.24/0.05:0.2/0.1:0.28/0.2:0.28
honor91,2,0.08:0.41/0.1:0.38/0.03:0.46,3.22:0.97,5:0.07/10:0.04/20:0.31/30:0.32/45:0.21/60:0.05,0.01:0.25/0.05:0.28/0.1:0.21/0.2:0.26
18lite,0,0.02:0.39/0.09:0.13,2.69:0.98/3.98:0.6/4.85:0.74,5:0.24/10:0.24/20:0.1/30:0.12/45:0.1/60:0.2,0.01:0.13/0.05:0.11/0.1:0.32/0.2:0.44
18lite,1,0.06:0.13,3.9:0.35,5:0.32/10:0.17/20:0.08/30:0.12/45:0.17/60:0.13,0.01:0.23/0.05:0.13/0.1:0.07/0.2:0.57
18lite,2,0.04:0.14,3.29:0.27/2.17:0.6,5:0.21/10:0.23/20:0.17/30:0.1/45:0.24/60:0.06,0.01:0.38/0.05:0.27/0.1:0.13/0.2:0.21
think pad t14sgen1,0,0.07:0.35/0.06:0.47/0.04:0.75,2.36:0.36/2.71:0.42/2.97:0.69,5:0.26/10:0.07/20:0.17/30:0.12/45:0.17/60:0.21,0.01:0.18/0.05:0.27/0.1:0.34/0.2:0.2
think pad t14sgen1,1,0.09:0.11,3.39:0.35,5:0.18/10:0.21/20:0.19/30:0.15/45:0.15/60:0.12,0.01:0.33/0.05:0.4/0.1:0.11/0.2:0.15
think pad t14sgen1,2,0.09:0.22,3.6:0.34/2.45:0.93/2.08:0.8,5:0.2/10:0.17/20:0.22/30:0.11/45:0.09/60:0.2,0.01:0.51/0.05:0.18/0.1:0.19/0.2:0.12
honor91,0,0.04:0.55,3.83:0.66,5:0.1/10:0.13/20:0.08/30:0.17/45:0.37/60:0.15,0.01:0.43/0.05:0.16/0.1:0.21/0.2:0.2
honor91,1,0.05:0.54/0.1:0.72,3.83:0.56,5:0.23/10:0.1/20:0.2/30:0.13/45:0.22/60:0.13,0.01:0.32/0.05:0.21/0.1:0.42/0.2:0.05
honor91,2,0.05:0.25/0.08:0.83/0.04:0.63,3.25:0.31,5:0.19/10:0.14/20:0.21/30:0.04/45:0.19/60:0.23,0.01:0.32/0.05:0.41/0.1:0.18/0.2:0.09
x60,0,0.1:0.83,2.65:0.47,5:0.18/10:0.15/20:0.05/30:0.09/45:0.17/60:0.36,0.01:0.28/0.05:0.33/0.1:0.2/0.2:0.19
x60,1,0.07:0.7/0.1:0.86/0.04:0.6,3.05:0.3/2.63:0.81,5:0.22/10:0.12/20:0.13/30:0.19/45:0.13/60:0.2,0.01:0.14/0.05:0.4/0.1:0.08/0.2:0.38
